City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Pravda,RU,2021-12-01 23:50:18,46.9396,142.009,28.4,84,100,19.95
253,Cao Bang,VN,2021-12-01 23:50:18,22.6667,106.25,51.44,72,77,1.5
254,Horta,PT,2021-12-01 23:46:30,38.5333,-28.6333,63.57,81,67,6.96
255,Bengkulu,ID,2021-12-01 23:50:18,-3.8004,102.2655,75.0,86,26,5.17
256,Sept-Iles,CA,2021-12-01 23:50:19,50.2001,-66.3821,28.83,94,90,1.01
257,Berdigestyakh,RU,2021-12-01 23:50:19,62.0989,126.6992,-20.07,99,95,3.38
258,Anderson,US,2021-12-01 23:46:01,34.5334,-82.6499,61.68,64,1,4.61
259,Ahuimanu,US,2021-12-01 23:48:05,21.4447,-157.8378,82.45,62,1,9.22
260,Paamiut,GL,2021-12-01 23:50:19,61.994,-49.6678,31.5,94,100,35.54
261,Fort Nelson,CA,2021-12-01 23:49:03,58.8053,-122.7002,-6.21,77,40,2.3
262,Isangel,VU,2021-12-01 23:50:20,-19.55,169.2667,86.11,74,75,11.5
263,Yar-Sale,RU,2021-12-01 23:50:20,66.8333,70.8333,0.79,96,100,14.14
264,Uyuni,BO,2021-12-01 23:50:20,-20.4597,-66.825,59.0,9,100,8.39
265,Tocache,PE,2021-12-01 23:50:21,-8.1842,-76.5125,72.0,96,72,1.45
266,Gillette,US,2021-12-01 23:50:21,44.2911,-105.5022,60.24,33,1,1.99
267,Pangnirtung,CA,2021-12-01 23:50:21,66.1451,-65.7125,10.4,85,75,18.41
268,Turkistan,KZ,2021-12-01 23:50:22,43.0,68.0,49.14,43,100,10.8
269,Aswan,EG,2021-12-01 23:50:22,24.0934,32.907,64.27,47,12,13.53
270,Arlit,NE,2021-12-01 23:50:22,18.7369,7.3853,69.08,19,66,6.04
271,Olinda,BR,2021-12-01 23:49:05,-8.0089,-34.8553,82.13,74,75,6.91
272,Pa Daet,TH,2021-12-01 23:50:23,19.5049,99.9924,58.15,88,73,2.42
273,Kathu,TH,2021-12-01 23:50:23,7.9178,98.3332,76.82,83,96,20.22
274,Port Elizabeth,ZA,2021-12-01 23:50:23,-33.918,25.5701,66.09,88,0,23.02
275,Oksfjord,NO,2021-12-01 23:50:24,70.2396,22.3479,31.12,76,100,18.45
276,Omboue,GA,2021-12-01 23:50:24,-1.5746,9.2618,76.86,91,100,2.68
277,Manaquiri,BR,2021-12-01 23:50:24,-3.3167,-60.35,81.09,89,99,3.33
278,Fortuna,US,2021-12-01 23:47:06,40.5982,-124.1573,63.93,72,1,1.99
279,Seoul,KR,2021-12-01 23:50:25,37.5683,126.9778,29.64,74,0,4.61
280,Disna,BY,2021-12-01 23:50:25,55.568,28.1971,24.13,90,97,8.32
281,Kaili,ID,2021-12-01 23:50:26,-3.4626,120.2147,72.07,75,100,0.56
282,Manavalakurichi,IN,2021-12-01 23:50:26,8.1333,77.3,78.89,84,11,3.87
283,Zambezi,ZM,2021-12-01 23:50:26,-13.5432,23.1047,67.91,71,95,4.97
284,Thinadhoo,MV,2021-12-01 23:50:27,0.5333,72.9333,81.39,77,100,6.73
285,Rapid Valley,US,2021-12-01 23:50:27,44.0625,-103.1463,70.43,30,1,4.61
286,Mackay,AU,2021-12-01 23:46:01,-21.15,149.2,89.69,74,0,3.44
287,Namibe,AO,2021-12-01 23:50:27,-15.1961,12.1522,71.11,78,97,3.2
288,Esmeraldas,BR,2021-12-01 23:50:28,-19.7625,-44.3139,77.86,89,27,1.7
289,Jumla,NP,2021-12-01 23:50:28,29.2747,82.1838,47.7,66,100,2.82
290,Santa Fe,AR,2021-12-01 23:49:14,-31.6333,-60.7,76.75,63,1,7.07
291,Iaciara,BR,2021-12-01 23:50:28,-14.0958,-46.6317,72.05,90,100,2.64
